Fruits,Vegetables
Apple,artichoke
"Apricots, Fresh",aubergine
"Apricots, Dried",asparagus
Armenian Cucumber,broccoflower
Asian Pears,broccoli
Avocado,brussels sprouts
Banana,cabbage
Barbados Cherry,kohlrabi
Black Crowberry,Savoy cabbage
Black Currants,red cabbage
Blackberries,sour cabbage
Blood Orange,cauliflower
Blueberries,celery
Boysenberries,cichory
Breadfruit,cilantro
Brown Turkey Fig,dillettuce
Cactus Pear,dilloriander
Canary Melon,eggplant
Cantaloupe,endive
Cape Gooseberries,fiddleheads
Cara Cara Navel Orange,frisee
Caribbean June Plum,fennel
Carissa,greens
Casaba Melon,beet greens
Champagne Grapes,bok choy
Cherimoya,chard
Cherries,collard greens
"Cherries, Sour",kale
Chokecherries,lettuce
Clementines,mustard greens
Coconut,spinach
Concord Grapes,alfalfa sprouts
Cotton Candy Grapes,azuki beans
Crab Apples,bean sprouts
"Cranberries, Fresh",black beans
"Cranberries, Dried",black-eyed peas
Crenshaw Melon,borlotti bean
Custard Apple,broad beans
D’Agen Sugar Plum,"chickpeas, garbanzos, or ceci beans"
Dates,green beans
Date Plum,kidney beans
Durian,lentils
Elderberries,lima beans or butter bean
Feijoa,mung beans
"Fig, Fresh",navy beans
"Fig, Dried",peanuts
Galia Melon,pinto beans
Golden Kiwifruit,runner beans
Grape Juice,split peas
Grapefruit,soy beans
Grapes,peas
Guava,mange tout or snap peas
Honeycrisp Apple,mushrooms 
Honeydew Melon,nettles
Huckleberries,New Zealand spinach
Jackfruit,oca
Jambolan,okra
Jujube,onion sprouts
Kaffir Lime,chives
Key Lime,garlic
Kiwano,leek
Kiwifruit,onion
Kumquat,shallot
Lemon,"scallion (spring onion UK, green onion US)"
Lime,bell pepper
Loganberries,chili pepper
Longan,jalapeño
Loquat,habanero
Lychee,paprika
Mamey Sapote,tabasco pepper
Mango,cayenne pepper
Mangosteen,radicchio
Mandarin Orange,rhubarb
Maradol Papaya,root vegetables
Mediterranean Medlar,beetroot (UK) beet (US)
Mulberries,mangelwurzel: a variety of beet used mostly as cattlefeed
Muscadine Grapes,carrot
Nectarine,celeriac
Orange,corms
Papaya,eddoe
Passion Fruit,konjac
Peach,taro
Pear,water chestnut
Persian Melon,ginger
Persimmon,parsnip
Pineapple,rutabaga and swede (UK)
Plantain,radish
Plum,wasabi
"Plum, Dried",horseradish
Pomegranate,daikon and white radish
Pummelo,turnip
Quince,tubers
Raisins,jicama
Raspberries,jerusalem artichoke
Red Banana,kumara
Red Currants,potato
Rose Apple,sour yam
Salmonberry,sweet potato
Sapodilla,sweet yam
Sapote,yam
Sharon Fruit,salsify (Oyster Plant)
Soursop,skirret
South African Baby Pineapple,succotash
Star Fruit,sweetcorn [1]
Strawberries,topinambur
Strawberry Guava,squashes
Strawberry Papaya,acorn squash
Sugar Apple,bitter melon
Surinam Cherry,butternut squash
Tangerine,banana squash
Ugli Fruit,"courgette (UK), Zucchini (US)"
Water Coconut,cucumber
Watermelon,delicata
Wild Blueberries,gem squash
Abiu,hubbard squash
Açaí,marrow (UK) Squash (US)
Acerola,spaghetti squash
Akebi,tat soi
Ackee,tomatillo
African Cherry Orange,tomato
American Mayapple,watercress
Apricot,
Aratiles,
Araza,
Bilberry,
Blackberry,
Blackcurrant,
Black sapote,
Blueberry,
Boysenberry,
Buddha's hand (fingered citron),
Canistel - also called egg fruit,
Catmon,
Cempedak,
Cherimoya (Custard Apple),
Cherry,
Chico fruit,
Cloudberry,
Coco de mer,
Crab apple,
Cranberry,
Currant,
Damson,
Date,
Dragonfruit (or Pitaya),
Elderberry,
Fig,
Finger Lime (or Caviar Lime),
Gac,
Goji berry,
Gooseberry,
Grape,
Raisin,
Grewia asiatica,
Hala fruit,
Honeyberry,
Huckleberry,
Jabuticaba (Plinia),
Jambul,
Japanese plum,
Jostaberry,
Juniper berry,
Kiwano (horned melon),
Lanzones,
Loganberry,
Lulo,
Magellan Barberry,
Macopa (Wax Apple),
Mamey apple,
Marionberry,
Medlar,
Melon,
Honeydew,
Mouse melon,
Muskmelon,
Miracle fruit,
Momordica fruit,
Monstera deliciosa,
Mulberry,
Nance,
Clementine,
Mandarine,
Passionfruit,
Pawpaw,
Prune (dried plum),
Pineberry,
Plumcot,
Pomelo,
Raspberry,
Rambutan,
Redcurrant,
Salal berry,
Salak,
Santol,
Saquico,
Sarguelas,
Satsuma,
Sloe,
Star apple,
Strawberry,
Suriname cherry,
Tamarillo,
Tamarind,
Tangelo,
Tayberry,
Thimbleberry,
White currant,
White sapote,
Ximenia,
Yuzu,
